蓝光测试,#genre#
北京卫视蓝光1,http://117.169.119.199:8080/live/hdbeijingstv/index.m3u8
北京卫视蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225664/index.m3u8?
北京卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225651/index.m3u8?
北京冬奥蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225667/index.m3u8?
北京冬奥蓝光2,http://117.169.119.199:8080/live/HD-8000k-1080P-beijingjishi/index.m3u8
天津卫视蓝光1,http://39.134.66.66/PLTV/88888888/224/3221225665/index.m3u8
天津卫视蓝光2,http://112.17.40.140/PLTV/88888888/224/3221226412/index.m3u8
天津卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225675/index.m3u8?
东方卫视蓝光1,http://39.135.138.59:18890/PLTV/88888910/224/3221225659/index.m3u8
东方卫视蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225682/index.m3u8?
东方卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225718/index.m3u8?
湖南卫视蓝光1,http://112.17.40.140/PLTV/88888888/224/3221226553/index.m3u8
湖南卫视蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225692/index.m3u8?
湖南卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225719/index.m3u8?
浙江卫视蓝光1,http://211.137.115.110:8080/gitv_live/G_ZHEJIANG-MD/G_ZHEJIANG-MD.m3u8
浙江卫视蓝光2,http://223.110.243.173/PLTV/3/224/3221227215/index.m3u8
浙江卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225695/index.m3u8?
江苏卫视蓝光1,http://39.134.39.39/PLTV/88888888/224/3221226157/index.m3u8
江苏卫视蓝光2,http://112.17.40.140/PLTV/88888888/224/3221226414/index.m3u8
江苏卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225636/index.m3u8?
东南卫视蓝光1,http://117.169.124.37:6610/ysten-businessmobile/live/dongnanstv/yst.m3u8
东南卫视蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225696/index.m3u8?
东南卫视蓝光3,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
山东卫视蓝光1,http://211.137.115.110:8080/gitv_live/G_SHANDONG-MD/G_SHANDONG-MD.m3u8
山东卫视蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225642/index.m3u8?
山东卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225672/index.m3u8?
湖北卫视蓝光1,http://111.12.102.68:6610/PLTV/77777777/224/3221225689/index.m3u8?
湖北卫视蓝光2,http://111.12.102.68:6610/PLTV/77777777/224/3221225721/index.m3u8?
湖北卫视蓝光3,http://223.110.243.171/PLTV/3/224/3221227211/index.m3u8
安徽卫视蓝光1,http://39.134.66.66/PLTV/88888888/224/3221225675/index.m3u8
安徽卫视蓝光2,http://223.110.247.161:6610/gitv/live1/G_ANHUI-CQ/G_ANHUI-CQ
安徽卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225671/index.m3u8?
广东卫视蓝光1,http://39.134.66.66/PLTV/88888888/224/3221225667/index.m3u8
广东卫视蓝光2,http://112.17.40.140/PLTV/88888888/224/3221226225/index.m3u8
广东卫视蓝光3,http://111.12.102.68:6610/PLTV/77777777/224/3221225666/index.m3u8?
深圳卫视蓝光1,http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8
深圳卫视蓝光2,http://223.110.243.171/PLTV/3/224/3221227217/index.m3u8
